,Feature,mean_score
791,max_role_1084L_nan,572492.7500275108
763,max_language1_981M_nan,572492.7500275108
797,max_sex_738L_nan,572492.7500275108
759,max_incometype_1044T_nan,572492.7500275108
707,max_education_927M_nan,572492.7500275108
803,max_type_25L_nan,572492.7500275108
794,max_safeguarantyflag_411L_nan,388021.71376685746
377,min_pmts_month_158T,95603.48722921283
380,min_pmts_month_706T,95568.52487283168
379,max_pmts_month_158T,95531.11530094642
382,max_pmts_month_706T,95527.52812085334
381,mean_pmts_month_706T,95357.59208058157
378,mean_pmts_month_158T,94290.82820514074
80,pctinstlsallpaidlate1d_3546856L,8701.33573530614
81,pctinstlsallpaidlate4d_3546849L,8356.20186343441
82,pctinstlsallpaidlate6d_3546844L,7907.468546764638
79,pctinstlsallpaidlat10d_839L,7197.558068107689
700,max_contaddr_smempladdr_334L_nan,4583.805045848155
697,max_contaddr_matchlist_1032L_nan,4583.805045848155
696,max_contaddr_matchlist_1032L_False,4583.805045787662
63,numinstlswithdpd10_728L,4540.059858539088
78,pctinstlsallpaidearl3d_427L,4207.209901624892
543,lastrejectreason_759M_P45_84_106,3964.0627669976493
94,days120_123L,3795.233263697216
95,days180_256L,3731.203609821278
98,days90_310L,3630.2278108748037
553,lastrejectreason_759M_a55475b1,3628.181976116263
568,lastrejectreasonclient_4145040M_a55475b1,3538.9094136823423
528,lastcancelreason_561M_P94_109_143,3399.463968718505
571,lastst_736L_D,3281.489699994965
77,numrejects9m_859L,3154.0552138092817
567,lastrejectreasonclient_4145040M_P94_109_143,3130.3263782794997
9,avgmaxdpdlast9m_3716943P,3075.5681358014317
534,lastcancelreason_561M_a55475b1,2902.460288768102
99,numberofqueries_373L,2879.456866869836
97,days360_512L,2879.456866869836
96,days30_165L,2705.391510531347
56,mobilephncnt_593L,2648.030740896795
205,max_birth_259D,2255.250812351085
58,numcontrs3months_479L,2169.845322649782
93,dateofbirth_337D,1892.1668858971566
67,numinstpaidearly3d_3546850L,1728.4610130723788
188,sum_maxdpdtolerance_577P,1726.7131058516552
186,max_maxdpdtolerance_577P,1702.9310152640194
60,numinstlallpaidearly3d_817L,1680.0051822701616
52,maxdpdtolerance_374P,1635.6062708219727
62,numinstlsallpaid_934L,1607.1383962978698
21,daysoverduetolerancedd_3976961L,1603.4476568382495
172,max_employedfrom_700D,1580.9977850238984
187,mean_maxdpdtolerance_577P,1574.5559626917989
173,mean_employedfrom_700D,1539.2193067363207
69,numinstpaidearly_338L,1534.113918487634
7,avgdpdtolclosure24_3658938P,1516.8418909455463
194,mean_pmtnum_8L,1512.3817070384018
202,mean_tenor_203L,1512.3817070384018
38,lastrejectdate_50D,1487.9541850118173
64,numinstlswithoutdpd_562L,1402.7496774318543
4,avgdbddpdlast24m_3658932P,1388.7642618951581
193,max_pmtnum_8L,1386.1127549448133
201,max_tenor_203L,1386.1127549448133
68,numinstpaidearly3dest_4493216L,1361.6095326183702
65,numinstmatpaidtearly2d_4499204L,1347.2857782832527
171,min_employedfrom_700D,1327.3851987161497
594,requesttype_4525192L_DEDUCTION_6,1316.9199639279364
45,maxdpdfrom6mto36m_3546853P,1304.9278485809084
48,maxdpdlast24m_143P,1220.2390597969595
19,datelastinstal40dpd_247D,1167.2104025307465
756,max_incometype_1044T_RETIRED_PENSIONER,1117.0686507283126
54,mindbddpdlast24m_3658935P,1088.6692123452622
1,amtinstpaidbefduel24m_4187115A,1037.9558297670542
796,max_sex_738L_M,1035.3029762832766
