,Feature,Score
803,max_type_25L_nan,95415.50000589516
707,max_education_927M_nan,95415.50000589516
759,max_incometype_1044T_nan,95415.50000589516
791,max_role_1084L_nan,95415.50000589516
797,max_sex_738L_nan,95415.50000589516
763,max_language1_981M_nan,95415.50000589516
1016,max_financialinstitution_382M_a0fa072e,38165.67178083453
794,max_safeguarantyflag_411L_nan,38165.67178083453
80,pctinstlsallpaidlate1d_3546856L,2329.3864701652515
696,max_contaddr_matchlist_1032L_False,2278.1847473227863
700,max_contaddr_smempladdr_334L_nan,2278.184747308173
697,max_contaddr_matchlist_1032L_nan,2278.184747308173
81,pctinstlsallpaidlate4d_3546849L,2212.8061068988372
82,pctinstlsallpaidlate6d_3546844L,2076.9110079849243
79,pctinstlsallpaidlat10d_839L,1860.8740181767196
63,numinstlswithdpd10_728L,1205.1550933453725
78,pctinstlsallpaidearl3d_427L,1155.6620239153117
94,days120_123L,925.7106036387288
553,lastrejectreason_759M_a55475b1,908.6013942800158
98,days90_310L,897.8678093628282
543,lastrejectreason_759M_P45_84_106,890.6169692266147
95,days180_256L,878.2570391217117
568,lastrejectreasonclient_4145040M_a55475b1,874.432353721077
528,lastcancelreason_561M_P94_109_143,848.6785851522748
571,lastst_736L_D,816.4419482032184
567,lastrejectreasonclient_4145040M_P94_109_143,762.9782278359636
9,avgmaxdpdlast9m_3716943P,761.2465216329094
534,lastcancelreason_561M_a55475b1,736.1969193014532
77,numrejects9m_859L,731.5743816262361
99,numberofqueries_373L,699.1628636290062
97,days360_512L,699.1628636290062
56,mobilephncnt_593L,691.8160262525244
96,days30_165L,689.2559315532366
205,max_birth_259D,533.4342146845576
58,numcontrs3months_479L,503.3674571933165
186,max_maxdpdtolerance_577P,497.4980231379463
188,sum_maxdpdtolerance_577P,497.4900918636691
52,maxdpdtolerance_374P,481.176182104919
187,mean_maxdpdtolerance_577P,457.72611072764573
21,daysoverduetolerancedd_3976961L,453.67608179927646
93,dateofbirth_337D,442.54314222416974
7,avgdpdtolclosure24_3658938P,428.88621719074837
67,numinstpaidearly3d_3546850L,427.5951951890889
60,numinstlallpaidearly3d_817L,412.78578641260617
62,numinstlsallpaid_934L,398.09846550504864
45,maxdpdfrom6mto36m_3546853P,389.74132606924627
4,avgdbddpdlast24m_3658932P,378.8634002741517
69,numinstpaidearly_338L,377.71177744915843
38,lastrejectdate_50D,372.0257134188705
48,maxdpdlast24m_143P,355.00757595691147
172,max_employedfrom_700D,354.8856724787308
64,numinstlswithoutdpd_562L,349.60131036803983
173,mean_employedfrom_700D,348.817065189123
202,mean_tenor_203L,345.2266874731001
194,mean_pmtnum_8L,345.2266874731001
68,numinstpaidearly3dest_4493216L,342.85046733282354
65,numinstmatpaidtearly2d_4499204L,339.2624226792171
201,max_tenor_203L,331.09212026064995
193,max_pmtnum_8L,331.09212026064995
594,requesttype_4525192L_DEDUCTION_6,324.6949613817678
344,min_refreshdate_3813885D,311.50069860648296
47,maxdpdlast12m_727P,310.2719605592318
171,min_employedfrom_700D,304.8413622024213
54,mindbddpdlast24m_3658935P,298.2258249281979
51,maxdpdlast9m_1059P,281.05181950950754
185,min_maxdpdtolerance_577P,278.2677229403763
42,maxdbddpdtollast12m_3658940P,277.23014250622947
1,amtinstpaidbefduel24m_4187115A,266.52871808088213
19,datelastinstal40dpd_247D,265.1631690430048
756,max_incometype_1044T_RETIRED_PENSIONER,255.44927656291236
206,max_empl_employedfrom_271D,251.61382195274598
208,min_empl_employedfrom_271D,251.61382195274598
207,mean_empl_employedfrom_271D,251.61382195274598
26,firstclxcampaign_1125D,243.1033726669534
796,max_sex_738L_M,239.47718649962403
795,max_sex_738L_F,238.58660820178187
6,avgdbdtollast24m_4525197P,236.23509904925587
597,requesttype_4525192L_nan,234.11651806451502
57,monthsannuity_845L,224.41237279760958
614,max_education_1138M_a55475b1,222.4147870408535
573,lastst_736L_K,220.7818758391019
670,max_status_219L_D,215.52177968597692
83,pmtnum_254L,208.1405587840178
203,sum_tenor_203L,203.62285586952706
195,sum_pmtnum_8L,203.62285586952706
240,sum_amount_4527230A,195.15611494569256
1233,min_subjectroles_name_838M_a55475b1,194.9121629120903
1239,max_subjectroles_name_838M_nan,189.6987814704935
1223,min_subjectroles_name_541M_nan,189.6987814704935
1228,max_subjectroles_name_541M_nan,189.6987814704935
1234,min_subjectroles_name_838M_nan,189.6987814704935
1221,min_subjectroles_name_541M_a55475b1,189.0957905656404
1225,max_subjectroles_name_541M_ab3c25cf,185.5466118326449
55,mindbdtollast24m_4525191P,181.27721192163585
50,maxdpdlast6m_474P,180.76751768902622
399,ratio_queries_120,172.97164247781214
1236,max_subjectroles_name_838M_ab3c25cf,171.51246974483618
14,cntpmts24_3658933L,168.48729144112636
91,birthdate_574D,167.443548646084
190,mean_outstandingdebt_522A,166.431243981791
398,ratio_queries_90,165.4005652447834
