feature,gain,split
annuity_780A,3976.8493391253055,7948.2
birthdate_574D,2387.880820116028,2698.0
credamount_770A,2155.384916240536,4119.3
disbursedcredamount_1113A,1617.2112247612326,3050.9
pmtnum_254L,1309.0212006030604,2442.8
pmtssum_45A,1307.5121993517503,1806.1
lastrejectdate_50D,1214.2760568486526,1162.6
lastapplicationdate_877D,1092.114734512195,1565.0
max_annuity_853A,957.3400500219316,1198.7
min_annuity_853A,941.8923288755119,1128.7
pmtscount_423L,934.4620426261797,1475.3
clientscnt_887L,848.3260901477188,1099.1
mean_mainoccupationinc_437A,764.8857899811119,1346.8
sum_mainoccupationinc_437A,652.921597815305,1098.4
thirdquarter_1082L,540.176039050147,567.4
twobodfilling_608L,505.0021517187357,438.2
days180_256L,475.82381101194767,522.4
max_mainoccupationinc_437A,471.86372939441355,649.3
lastrejectcredamount_222A,425.9067572673783,553.3
days360_512L,386.69747422635555,487.7
dateofbirth_337D,380.1341721290722,484.5
mean_annuity_853A,360.753524491936,653.5
fourthquarter_440L,324.8144987830892,366.7
days30_165L,320.2548346031457,293.8
assignmentdate_238D,299.7025038987398,107.7
applicationscnt_867L,289.9764947572723,660.9
firstquarter_103L,266.8906796488911,344.4
clientscnt_533L,234.79519061166792,203.0
applicationscnt_464L,227.17096049208195,237.5
days120_123L,218.99146339930593,247.2
numrejects9m_859L,216.94821674637495,195.5
eir_270L,210.46181449312718,416.3
days90_310L,206.88459410071374,217.4
numberofqueries_373L,178.34860245250167,227.9
homephncnt_628L,161.93137550354004,407.1
clientscnt_304L,143.09258680045605,298.8
applicationscnt_1086L,136.73761735428124,452.1
clientscnt_1130L,128.91815726216882,113.5
maxannuity_159A,126.71044951770455,185.7
interestrate_311L,113.64078360814601,214.3
secondquarter_766L,113.57385295983404,203.9
applicationscnt_629L,108.99311958178878,316.9
applications30d_658L,106.60560692865401,70.1
posfstqpd30lastmonth_3976962P,100.971999601461,203.2
commnoinclast6m_3546845L,97.49365182314068,127.7
clientscnt_1022L,79.14870194438845,85.5
